PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Title,Embarked,Sex,Cabin_cat
1,0,3,22.0,1,0,7.25,Mr.,S,male,None
2,1,1,38.0,1,0,71.2833,Mrs.,C,female,C
3,1,3,26.0,0,0,7.925,Miss.,S,female,None
4,1,1,35.0,1,0,53.1,Mrs.,S,female,C
5,0,3,35.0,0,0,8.05,Mr.,S,male,None
6,0,3,30.5,0,0,8.4583,Mr.,Q,male,None
7,0,1,54.0,0,0,51.8625,Mr.,S,male,E
8,0,3,2.0,3,1,21.075,Master.,S,male,None
9,1,3,27.0,0,2,11.1333,Mrs.,S,female,None
10,1,2,14.0,1,0,30.0708,Mrs.,C,female,None
11,1,3,4.0,1,1,16.7,Miss.,S,female,G
12,1,1,58.0,0,0,26.55,Miss.,S,female,C
13,0,3,20.0,0,0,8.05,Mr.,S,male,None
14,0,3,39.0,1,5,31.275,Mr.,S,male,None
15,0,3,14.0,0,0,7.8542,Miss.,S,female,None
16,1,2,55.0,0,0,16.0,Mrs.,S,female,None
17,0,3,2.0,4,1,29.125,Master.,Q,male,None
18,1,2,31.5,0,0,13.0,Mr.,S,male,None
19,0,3,31.0,1,0,18.0,Mrs.,S,female,None
20,1,3,28.5,0,0,7.225,Mrs.,C,female,None
21,0,2,35.0,0,0,26.0,Mr.,S,male,None
22,1,2,34.0,0,0,13.0,Mr.,S,male,D
23,1,3,15.0,0,0,8.0292,Miss.,Q,female,None
24,1,1,28.0,0,0,35.5,Mr.,S,male,A
25,0,3,8.0,3,1,21.075,Miss.,S,female,None
26,1,3,38.0,1,5,31.3875,Mrs.,S,female,None
27,0,3,28.5,0,0,7.225,Mr.,C,male,None
28,0,1,19.0,3,2,249.3630053167766,Mr.,S,male,C
29,1,3,35.5,0,0,7.8792,Miss.,Q,female,None
30,0,3,30.5,0,0,7.8958,Mr.,S,male,None
31,0,1,40.0,0,0,27.7208,Noble.,C,male,None
32,1,1,39.5,1,0,146.5208,Mrs.,C,female,B
33,1,3,27.5,0,0,7.75,Miss.,Q,female,None
34,0,2,66.0,0,0,10.5,Mr.,S,male,None
35,0,1,28.0,1,0,82.1708,Mr.,C,male,None
36,0,1,42.0,1,0,52.0,Mr.,S,male,None
37,1,3,29.5,0,0,7.2292,Mr.,C,male,None
38,0,3,21.0,0,0,8.05,Mr.,S,male,None
39,0,3,18.0,2,0,18.0,Miss.,S,female,None
40,1,3,14.0,1,0,11.2417,Miss.,C,female,None
41,0,3,40.0,1,0,9.475,Mrs.,S,female,None
42,0,2,27.0,1,0,21.0,Mrs.,S,female,None
43,0,3,43.5,0,0,7.8958,Mr.,C,male,None
44,1,2,3.0,1,2,41.5792,Miss.,C,female,None
45,1,3,19.0,0,0,7.8792,Miss.,Q,female,None
46,0,3,34.5,0,0,8.05,Mr.,S,male,None
47,0,3,39.5,1,0,15.5,Mr.,Q,male,None
48,1,3,26.5,0,0,7.75,Miss.,Q,female,None
49,0,3,31.5,2,0,21.6792,Mr.,C,male,None
50,0,3,18.0,1,0,17.8,Mrs.,S,female,None
51,0,3,7.0,4,1,39.6875,Master.,S,male,None
52,0,3,21.0,0,0,7.8,Mr.,S,male,None
53,1,1,49.0,1,0,76.7292,Mrs.,C,female,D
54,1,2,29.0,1,0,26.0,Mrs.,S,female,None
55,0,1,65.0,0,1,61.9792,Mr.,C,male,B
56,1,1,19.5,0,0,35.5,Mr.,S,male,C
57,1,2,21.0,0,0,10.5,Miss.,S,female,None
58,0,3,28.5,0,0,7.2292,Mr.,C,male,None
59,1,2,5.0,1,2,27.75,Miss.,S,female,None
60,0,3,11.0,5,2,46.9,Master.,S,male,None
61,0,3,22.0,0,0,7.2292,Mr.,C,male,None
62,1,1,38.0,0,0,80.0,Miss.,S,female,B
63,0,1,45.0,1,0,83.475,Mr.,S,male,C
64,0,3,4.0,3,2,27.9,Master.,S,male,None
65,0,1,29.5,0,0,27.7208,Mr.,C,male,None
66,1,3,35.5,1,1,15.2458,Master.,C,male,None
67,1,2,29.0,0,0,10.5,Mrs.,S,female,F
68,0,3,19.0,0,0,8.1583,Mr.,S,male,None
69,1,3,17.0,4,2,7.925,Miss.,S,female,None
70,0,3,26.0,2,0,8.6625,Mr.,S,male,None
71,0,2,32.0,0,0,10.5,Mr.,S,male,None
72,0,3,16.0,5,2,46.9,Miss.,S,female,None
73,0,2,21.0,0,0,73.5,Mr.,S,male,None
74,0,3,26.0,1,0,14.4542,Mr.,C,male,None
75,1,3,32.0,0,0,56.4958,Mr.,S,male,None
76,0,3,25.0,0,0,7.65,Mr.,S,male,F
77,0,3,29.5,0,0,7.8958,Mr.,S,male,None
78,0,3,26.5,0,0,8.05,Mr.,S,male,None
79,1,2,0.83,0,2,29.0,Master.,S,male,None
80,1,3,30.0,0,0,12.475,Miss.,S,female,None
81,0,3,22.0,0,0,9.0,Mr.,S,male,None
82,1,3,29.0,0,0,9.5,Mr.,S,male,None
83,1,3,36.5,0,0,7.7875,Miss.,Q,female,None
84,0,1,28.0,0,0,47.1,Mr.,S,male,None
85,1,2,17.0,0,0,10.5,Miss.,S,female,None
86,1,3,33.0,3,0,15.85,Mrs.,S,female,None
87,0,3,16.0,1,3,34.375,Mr.,S,male,None
88,0,3,31.5,0,0,8.05,Mr.,S,male,None
89,1,1,23.0,3,2,249.3630053167766,Miss.,S,female,C
90,0,3,24.0,0,0,8.05,Mr.,S,male,None
91,0,3,29.0,0,0,8.05,Mr.,S,male,None
92,0,3,20.0,0,0,7.8542,Mr.,S,male,None
93,0,1,46.0,1,0,61.175,Mr.,S,male,E
94,0,3,26.0,1,2,20.575,Mr.,S,male,None
95,0,3,59.0,0,0,7.25,Mr.,S,male,None
96,0,3,23.5,0,0,8.05,Mr.,S,male,None
97,0,1,71.0,0,0,34.6542,Mr.,C,male,A
98,1,1,23.0,0,1,63.3583,Mr.,C,male,D
99,1,2,34.0,0,1,23.0,Mrs.,S,female,None
100,0,2,34.0,1,0,26.0,Mr.,S,male,None
101,0,3,28.0,0,0,7.8958,Miss.,S,female,None
102,0,3,23.5,0,0,7.8958,Mr.,S,male,None
103,0,1,21.0,0,1,77.2875,Mr.,S,male,D
104,0,3,33.0,0,0,8.6542,Mr.,S,male,None
105,0,3,37.0,2,0,7.925,Mr.,S,male,None
106,0,3,28.0,0,0,7.8958,Mr.,S,male,None
107,1,3,21.0,0,0,7.65,Miss.,S,female,None
108,1,3,35.5,0,0,7.775,Mr.,S,male,None
109,0,3,38.0,0,0,7.8958,Mr.,S,male,None
110,1,3,23.5,1,0,24.15,Miss.,Q,female,None
111,0,1,47.0,0,0,52.0,Mr.,S,male,C
112,0,3,14.5,1,0,14.4542,Miss.,C,female,None
113,0,3,22.0,0,0,8.05,Mr.,S,male,None
114,0,3,20.0,1,0,9.825,Miss.,S,female,None
115,0,3,17.0,0,0,14.4583,Miss.,C,female,None
116,0,3,21.0,0,0,7.925,Mr.,S,male,None
117,0,3,70.5,0,0,7.75,Mr.,Q,male,None
118,0,2,29.0,1,0,21.0,Mr.,S,male,None
119,0,1,24.0,0,1,247.5208,Mr.,C,male,B
120,0,3,2.0,4,2,31.275,Miss.,S,female,None
121,0,2,21.0,2,0,73.5,Mr.,S,male,None
122,0,3,25.5,0,0,8.05,Mr.,S,male,None
123,0,2,32.5,1,0,30.0708,Mr.,C,male,None
124,1,2,32.5,0,0,13.0,Miss.,S,female,E
125,0,1,54.0,0,1,77.2875,Mr.,S,male,D
126,1,3,12.0,1,0,11.2417,Master.,C,male,None
127,0,3,20.5,0,0,7.75,Mr.,Q,male,None
128,1,3,24.0,0,0,7.1417,Mr.,S,male,None
129,1,3,37.5,1,1,22.3583,Miss.,C,female,F
130,0,3,45.0,0,0,6.975,Mr.,S,male,None
131,0,3,33.0,0,0,7.8958,Mr.,C,male,None
132,0,3,20.0,0,0,7.05,Mr.,S,male,None
133,0,3,47.0,1,0,14.5,Mrs.,S,female,None
134,1,2,29.0,1,0,26.0,Mrs.,S,female,None
135,0,2,25.0,0,0,13.0,Mr.,S,male,None
136,0,2,23.0,0,0,15.0458,Mr.,C,male,None
137,1,1,19.0,0,2,26.2833,Miss.,S,female,D
138,0,1,37.0,1,0,53.1,Mr.,S,male,C
139,0,3,16.0,0,0,9.2167,Mr.,S,male,None
140,0,1,24.0,0,0,79.2,Mr.,C,male,B
141,0,3,31.5,0,2,15.2458,Mrs.,C,female,None
142,1,3,22.0,0,0,7.75,Miss.,S,female,None
143,1,3,24.0,1,0,15.85,Mrs.,S,female,None
144,0,3,19.0,0,0,6.75,Mr.,Q,male,None
145,0,2,18.0,0,0,11.5,Mr.,S,male,None
146,0,2,19.0,1,1,36.75,Mr.,S,male,None
147,1,3,27.0,0,0,7.7958,Mr.,S,male,None
148,0,3,9.0,2,2,34.375,Miss.,S,female,None
149,0,2,36.5,0,2,26.0,Mr.,S,male,F
150,0,2,42.0,0,0,13.0,Rev.,S,male,None
151,0,2,51.0,0,0,12.525,Rev.,S,male,None
152,1,1,22.0,1,0,66.6,Mrs.,S,female,C
153,0,3,55.5,0,0,8.05,Mr.,S,male,None
154,0,3,40.5,0,2,14.5,Mr.,S,male,None
155,0,3,36.5,0,0,7.3125,Mr.,S,male,None
156,0,1,51.0,0,1,61.3792,Mr.,C,male,None
157,1,3,16.0,0,0,7.7333,Miss.,Q,female,None
158,0,3,30.0,0,0,8.05,Mr.,S,male,None
159,0,3,10.5,0,0,8.6625,Mr.,S,male,None
160,0,3,43.5,8,2,69.55,Master.,S,male,None
161,0,3,44.0,0,1,16.1,Mr.,S,male,None
162,1,2,40.0,0,0,15.75,Mrs.,S,female,None
163,0,3,26.0,0,0,7.775,Mr.,S,male,None
164,0,3,17.0,0,0,8.6625,Mr.,S,male,None
165,0,3,1.0,4,1,39.6875,Master.,S,male,None
166,1,3,9.0,0,2,20.525,Master.,S,male,None
167,1,1,24.5,0,1,55.0,Mrs.,S,female,E
168,0,3,45.0,1,4,27.9,Mrs.,S,female,None
169,0,1,28.5,0,0,25.925,Mr.,S,male,None
170,0,3,28.0,0,0,56.4958,Mr.,S,male,None
171,0,1,61.0,0,0,33.5,Mr.,S,male,B
172,0,3,4.0,4,1,29.125,Master.,Q,male,None
173,1,3,1.0,1,1,11.1333,Miss.,S,female,None
174,0,3,21.0,0,0,7.925,Mr.,S,male,None
175,0,1,56.0,0,0,30.6958,Mr.,C,male,A
176,0,3,18.0,1,1,7.8542,Mr.,S,male,None
177,0,3,21.5,3,1,25.4667,Master.,S,male,None
178,0,1,50.0,0,0,28.7125,Miss.,C,female,C
179,0,2,30.0,0,0,13.0,Mr.,S,male,None
180,0,3,36.0,0,0,0.0,Mr.,S,male,None
181,0,3,25.5,8,2,69.55,Miss.,S,female,None
182,0,2,22.5,0,0,15.05,Mr.,C,male,None
183,0,3,9.0,4,2,31.3875,Master.,S,male,None
184,1,2,1.0,2,1,39.0,Master.,S,male,F
185,1,3,4.0,0,2,22.025,Miss.,S,female,None
186,0,1,23.5,0,0,50.0,Mr.,S,male,A
187,1,3,36.5,1,0,15.5,Mrs.,Q,female,None
188,1,1,45.0,0,0,26.55,Mr.,S,male,None
189,0,3,40.0,1,1,15.5,Mr.,Q,male,None
190,0,3,36.0,0,0,7.8958,Mr.,S,male,None
191,1,2,32.0,0,0,13.0,Mrs.,S,female,None
192,0,2,19.0,0,0,13.0,Mr.,S,male,None
193,1,3,19.0,1,0,7.8542,Miss.,S,female,None
194,1,2,3.0,1,1,26.0,Master.,S,male,F
195,1,1,44.0,0,0,27.7208,Mrs.,C,female,B
196,1,1,58.0,0,0,146.5208,Miss.,C,female,B
197,0,3,43.5,0,0,7.75,Mr.,Q,male,None
198,0,3,42.0,0,1,8.4042,Mr.,S,male,None
199,1,3,16.5,0,0,7.75,Miss.,Q,female,None
200,0,2,24.0,0,0,13.0,Miss.,S,female,None
201,0,3,28.0,0,0,9.5,Mr.,S,male,None
202,0,3,37.5,8,2,69.55,Mr.,S,male,None
203,0,3,34.0,0,0,6.4958,Mr.,S,male,None
204,0,3,45.5,0,0,7.225,Mr.,C,male,None
205,1,3,18.0,0,0,8.05,Mr.,S,male,None
206,0,3,2.0,0,1,10.4625,Miss.,S,female,G
207,0,3,32.0,1,0,15.85,Mr.,S,male,None
208,1,3,26.0,0,0,18.7875,Mr.,C,male,None
209,1,3,16.0,0,0,7.75,Miss.,Q,female,None
210,1,1,40.0,0,0,31.0,Mr.,C,male,A
211,0,3,24.0,0,0,7.05,Mr.,S,male,None
212,1,2,35.0,0,0,21.0,Miss.,S,female,None
213,0,3,22.0,0,0,7.25,Mr.,S,male,None
214,0,2,30.0,0,0,13.0,Mr.,S,male,None
215,0,3,38.5,1,0,7.75,Mr.,Q,male,None
216,1,1,31.0,1,0,113.275,Miss.,C,female,D
217,1,3,27.0,0,0,7.925,Miss.,S,female,None
218,0,2,42.0,1,0,27.0,Mr.,S,male,None
219,1,1,32.0,0,0,76.2917,Miss.,C,female,D
220,0,2,30.0,0,0,10.5,Mr.,S,male,None
221,1,3,16.0,0,0,8.05,Mr.,S,male,None
222,0,2,27.0,0,0,13.0,Mr.,S,male,None
223,0,3,51.0,0,0,8.05,Mr.,S,male,None
224,0,3,36.5,0,0,7.8958,Mr.,S,male,None
225,1,1,38.0,1,0,90.0,Mr.,S,male,C
226,0,3,22.0,0,0,9.35,Mr.,S,male,None
227,1,2,19.0,0,0,10.5,Mr.,S,male,None
228,0,3,20.5,0,0,7.25,Mr.,S,male,None
229,0,2,18.0,0,0,13.0,Mr.,S,male,None
230,0,3,41.5,3,1,25.4667,Miss.,S,female,None
231,1,1,35.0,1,0,83.475,Mrs.,S,female,C
232,0,3,29.0,0,0,7.775,Mr.,S,male,None
233,0,2,59.0,0,0,13.5,Mr.,S,male,None
234,1,3,5.0,4,2,31.3875,Miss.,S,female,None
235,0,2,24.0,0,0,10.5,Mr.,S,male,None
236,0,3,37.5,0,0,7.55,Miss.,S,female,None
237,0,2,44.0,1,0,26.0,Mr.,S,male,None
238,1,2,8.0,0,2,26.25,Miss.,S,female,None
239,0,2,19.0,0,0,10.5,Mr.,S,male,None
240,0,2,33.0,0,0,12.275,Mr.,S,male,None
241,0,3,26.5,1,0,14.4542,Miss.,C,female,None
242,1,3,27.5,1,0,15.5,Miss.,Q,female,None
243,0,2,29.0,0,0,10.5,Mr.,S,male,None
244,0,3,22.0,0,0,7.125,Mr.,S,male,None
245,0,3,30.0,0,0,7.225,Mr.,C,male,None
246,0,1,44.0,2,0,90.0,Dr.,Q,male,C
247,0,3,25.0,0,0,7.775,Miss.,S,female,None
248,1,2,24.0,0,2,14.5,Mrs.,S,female,None
249,1,1,37.0,1,1,52.5542,Mr.,S,male,D
250,0,2,54.0,1,0,26.0,Rev.,S,male,None
251,0,3,22.5,0,0,7.25,Mr.,S,male,None
252,0,3,29.0,1,1,10.4625,Mrs.,S,female,G
253,0,1,62.0,0,0,26.55,Mr.,S,male,C
254,0,3,30.0,1,0,16.1,Mr.,S,male,None
255,0,3,41.0,0,2,20.2125,Mrs.,S,female,None
256,1,3,29.0,0,2,15.2458,Mrs.,C,female,None
257,1,1,30.5,0,0,79.2,Mrs.,C,female,None
258,1,1,30.0,0,0,86.5,Miss.,S,female,B
259,1,1,35.0,0,0,249.3630053167766,Miss.,C,female,None
260,1,2,50.0,0,1,26.0,Mrs.,S,female,None
261,0,3,22.5,0,0,7.75,Mr.,Q,male,None
262,1,3,3.0,4,2,31.3875,Master.,S,male,None
263,0,1,52.0,1,1,79.65,Mr.,S,male,E
264,0,1,40.0,0,0,0.0,Mr.,S,male,B
265,0,3,27.5,0,0,7.75,Miss.,Q,female,None
266,0,2,36.0,0,0,10.5,Mr.,S,male,None
267,0,3,16.0,4,1,39.6875,Mr.,S,male,None
268,1,3,25.0,1,0,7.775,Mr.,S,male,None
269,1,1,58.0,0,1,153.4625,Mrs.,S,female,C
270,1,1,35.0,0,0,135.6333,Miss.,S,female,C
271,0,1,20.5,0,0,31.0,Mr.,S,male,None
272,1,3,25.0,0,0,0.0,Mr.,S,male,None
273,1,2,41.0,0,1,19.5,Mrs.,S,female,None
274,0,1,37.0,0,1,29.7,Mr.,C,male,C
275,1,3,32.5,0,0,7.75,Miss.,Q,female,None
276,1,1,63.0,1,0,77.9583,Miss.,S,female,D
277,0,3,45.0,0,0,7.75,Miss.,S,female,None
278,0,2,25.5,0,0,0.0,Mr.,S,male,None
279,0,3,7.0,4,1,29.125,Master.,Q,male,None
280,1,3,35.0,1,1,20.25,Mrs.,S,female,None
281,0,3,65.0,0,0,7.75,Mr.,Q,male,None
282,0,3,28.0,0,0,7.8542,Mr.,S,male,None
283,0,3,16.0,0,0,9.5,Mr.,S,male,None
284,1,3,19.0,0,0,8.05,Mr.,S,male,None
285,0,1,25.5,0,0,26.0,Mr.,S,male,A
286,0,3,33.0,0,0,8.6625,Mr.,C,male,None
287,1,3,30.0,0,0,9.5,Mr.,S,male,None
288,0,3,22.0,0,0,7.8958,Mr.,S,male,None
289,1,2,42.0,0,0,13.0,Mr.,S,male,None
290,1,3,22.0,0,0,7.75,Miss.,Q,female,None
291,1,1,26.0,0,0,78.85,Miss.,S,female,None
292,1,1,19.0,1,0,91.0792,Mrs.,C,female,B
293,0,2,36.0,0,0,12.875,Mr.,C,male,D
294,0,3,24.0,0,0,8.85,Miss.,S,female,None
295,0,3,24.0,0,0,7.8958,Mr.,S,male,None
296,0,1,19.5,0,0,27.7208,Mr.,C,male,None
297,0,3,23.5,0,0,7.2292,Mr.,C,male,None
298,0,1,2.0,1,2,151.55,Miss.,S,female,C
299,1,1,31.5,0,0,30.5,Mr.,S,male,C
300,1,1,50.0,0,1,247.5208,Mrs.,C,female,B
301,1,3,28.5,0,0,7.75,Miss.,Q,female,None
302,1,3,36.5,2,0,23.25,Mr.,Q,male,None
303,0,3,19.0,0,0,0.0,Mr.,S,male,None
304,1,2,29.5,0,0,12.35,Miss.,Q,female,E
305,0,3,36.5,0,0,8.05,Mr.,S,male,None
306,1,1,0.92,1,2,151.55,Master.,S,male,C
307,1,1,31.5,0,0,110.8833,Miss.,C,female,None
308,1,1,17.0,1,0,108.9,Mrs.,C,female,C
309,0,2,30.0,1,0,24.0,Mr.,C,male,None
310,1,1,30.0,0,0,56.9292,Miss.,C,female,E
311,1,1,24.0,0,0,83.1583,Miss.,C,female,C
312,1,1,18.0,2,2,249.3630053167766,Miss.,C,female,B
313,0,2,26.0,1,1,26.0,Mrs.,S,female,None
314,0,3,28.0,0,0,7.8958,Mr.,S,male,None
315,0,2,43.0,1,1,26.25,Mr.,S,male,None
316,1,3,26.0,0,0,7.8542,Miss.,S,female,None
317,1,2,24.0,1,0,26.0,Mrs.,S,female,None
318,0,2,54.0,0,0,14.0,Dr.,S,male,None
319,1,1,31.0,0,2,164.8667,Miss.,S,female,C
320,1,1,40.0,1,1,134.5,Mrs.,C,female,E
321,0,3,22.0,0,0,7.25,Mr.,S,male,None
322,0,3,27.0,0,0,7.8958,Mr.,S,male,None
323,1,2,30.0,0,0,12.35,Miss.,Q,female,None
324,1,2,22.0,1,1,29.0,Mrs.,S,female,None
325,0,3,30.5,8,2,69.55,Mr.,S,male,None
326,1,1,36.0,0,0,135.6333,Miss.,C,female,C
327,0,3,61.0,0,0,6.2375,Mr.,S,male,None
328,1,2,36.0,0,0,13.0,Mrs.,S,female,D
329,1,3,31.0,1,1,20.525,Mrs.,S,female,None
330,1,1,16.0,0,1,57.9792,Miss.,C,female,B
331,1,3,22.5,2,0,23.25,Miss.,Q,female,None
332,0,1,45.5,0,0,28.5,Mr.,S,male,C
333,0,1,38.0,0,1,153.4625,Mr.,S,male,C
334,0,3,16.0,2,0,18.0,Mr.,S,male,None
335,1,1,35.5,1,0,133.65,Mrs.,S,female,None
336,0,3,28.5,0,0,7.8958,Mr.,S,male,None
337,0,1,29.0,1,0,66.6,Mr.,S,male,C
338,1,1,41.0,0,0,134.5,Miss.,C,female,E
339,1,3,45.0,0,0,8.05,Mr.,S,male,None
340,0,1,45.0,0,0,35.5,Mr.,S,male,T
341,1,2,2.0,1,1,26.0,Master.,S,male,F
342,1,1,24.0,3,2,249.3630053167766,Miss.,S,female,C
343,0,2,28.0,0,0,13.0,Mr.,S,male,None
344,0,2,25.0,0,0,13.0,Mr.,S,male,None
345,0,2,36.0,0,0,13.0,Mr.,S,male,None
346,1,2,24.0,0,0,13.0,Miss.,S,female,F
347,1,2,40.0,0,0,13.0,Miss.,S,female,None
348,1,3,31.5,1,0,16.1,Mrs.,S,female,None
349,1,3,3.0,1,1,15.9,Master.,S,male,None
350,0,3,42.0,0,0,8.6625,Mr.,S,male,None
351,0,3,23.0,0,0,9.225,Mr.,S,male,None
352,0,1,24.5,0,0,35.0,Mr.,S,male,C
353,0,3,15.0,1,1,7.2292,Mr.,C,male,None
354,0,3,25.0,1,0,17.8,Mr.,S,male,None
355,0,3,34.5,0,0,7.225,Mr.,C,male,None
356,0,3,28.0,0,0,9.5,Mr.,S,male,None
357,1,1,22.0,0,1,55.0,Miss.,S,female,E
358,0,2,38.0,0,0,13.0,Miss.,S,female,None
359,1,3,31.5,0,0,7.8792,Miss.,Q,female,None
360,1,3,38.5,0,0,7.8792,Miss.,Q,female,None
361,0,3,40.0,1,4,27.9,Mr.,S,male,None
362,0,2,29.0,1,0,27.7208,Mr.,C,male,None
363,0,3,45.0,0,1,14.4542,Mrs.,C,female,None
364,0,3,35.0,0,0,7.05,Mr.,S,male,None
365,0,3,23.5,1,0,15.5,Mr.,Q,male,None
366,0,3,30.0,0,0,7.25,Mr.,S,male,None
367,1,1,60.0,1,0,75.25,Mrs.,C,female,D
368,1,3,39.5,0,0,7.2292,Mrs.,C,female,None
369,1,3,18.5,0,0,7.75,Miss.,Q,female,None
370,1,1,24.0,0,0,69.3,Mrs.,C,female,B
371,1,1,25.0,1,0,55.4417,Mr.,C,male,E
372,0,3,18.0,1,0,6.4958,Mr.,S,male,None
373,0,3,19.0,0,0,8.05,Mr.,S,male,None
374,0,1,22.0,0,0,135.6333,Mr.,C,male,None
375,0,3,3.0,3,1,21.075,Miss.,S,female,None
376,1,1,31.5,1,0,82.1708,Mrs.,C,female,None
377,1,3,22.0,0,0,7.25,Miss.,S,female,None
378,0,1,27.0,0,2,211.5,Mr.,C,male,C
379,0,3,20.0,0,0,4.0125,Mr.,C,male,None
380,0,3,19.0,0,0,7.775,Mr.,S,male,None
381,1,1,42.0,0,0,227.525,Miss.,C,female,None
382,1,3,1.0,0,2,15.7417,Miss.,C,female,None
383,0,3,32.0,0,0,7.925,Mr.,S,male,None
384,1,1,35.0,1,0,52.0,Mrs.,S,female,None
385,0,3,28.5,0,0,7.8958,Mr.,S,male,None
386,0,2,18.0,0,0,73.5,Mr.,S,male,None
387,0,3,1.0,5,2,46.9,Master.,S,male,None
388,1,2,36.0,0,0,13.0,Miss.,S,female,None
389,0,3,28.5,0,0,7.7292,Mr.,Q,male,None
390,1,2,17.0,0,0,12.0,Miss.,C,female,None
391,1,1,36.0,1,2,120.0,Mr.,S,male,B
392,1,3,21.0,0,0,7.7958,Mr.,S,male,None
393,0,3,28.0,2,0,7.925,Mr.,S,male,None
394,1,1,23.0,1,0,113.275,Miss.,C,female,D
395,1,3,24.0,0,2,16.7,Mrs.,S,female,G
396,0,3,22.0,0,0,7.7958,Mr.,S,male,None
397,0,3,31.0,0,0,7.8542,Miss.,S,female,None
398,0,2,46.0,0,0,26.0,Mr.,S,male,None
399,0,2,23.0,0,0,10.5,Dr.,S,male,None
400,1,2,28.0,0,0,12.65,Mrs.,S,female,None
401,1,3,39.0,0,0,7.925,Mr.,S,male,None
402,0,3,26.0,0,0,8.05,Mr.,S,male,None
403,0,3,21.0,1,0,9.825,Miss.,S,female,None
404,0,3,28.0,1,0,15.85,Mr.,S,male,None
405,0,3,20.0,0,0,8.6625,Miss.,S,female,None
406,0,2,34.0,1,0,21.0,Mr.,S,male,None
407,0,3,51.0,0,0,7.75,Mr.,S,male,None
408,1,2,3.0,1,1,18.75,Master.,S,male,None
409,0,3,21.0,0,0,7.775,Mr.,S,male,None
410,0,3,35.5,3,1,25.4667,Miss.,S,female,None
411,0,3,24.5,0,0,7.8958,Mr.,S,male,None
412,0,3,27.5,0,0,6.8583,Mr.,Q,male,None
413,1,1,33.0,1,0,90.0,Miss.,Q,female,C
414,0,2,29.5,0,0,0.0,Mr.,S,male,None
415,1,3,44.0,0,0,7.925,Mr.,S,male,None
416,0,3,39.5,0,0,8.05,Mrs.,S,female,None
417,1,2,34.0,1,1,32.5,Mrs.,S,female,None
418,1,2,18.0,0,2,13.0,Miss.,S,female,None
419,0,2,30.0,0,0,13.0,Mr.,S,male,None
420,0,3,10.0,0,2,24.15,Miss.,S,female,None
421,0,3,30.5,0,0,7.8958,Mr.,C,male,None
422,0,3,21.0,0,0,7.7333,Mr.,Q,male,None
423,0,3,29.0,0,0,7.875,Mr.,S,male,None
424,0,3,28.0,1,1,14.4,Mrs.,S,female,None
425,0,3,18.0,1,1,20.2125,Mr.,S,male,None
426,0,3,43.5,0,0,7.25,Mr.,S,male,None
427,1,2,28.0,1,0,26.0,Mrs.,S,female,None
428,1,2,19.0,0,0,26.0,Miss.,S,female,None
429,0,3,40.5,0,0,7.75,Mr.,Q,male,None
430,1,3,32.0,0,0,8.05,Mr.,S,male,E
431,1,1,28.0,0,0,26.55,Mr.,S,male,C
432,1,3,43.5,1,0,16.1,Mrs.,S,female,None
433,1,2,42.0,1,0,26.0,Mrs.,S,female,None
434,0,3,17.0,0,0,7.125,Mr.,S,male,None
435,0,1,50.0,1,0,55.9,Mr.,S,male,E
436,1,1,14.0,1,2,120.0,Miss.,S,female,B
437,0,3,21.0,2,2,34.375,Miss.,S,female,None
438,1,2,24.0,2,3,18.75,Mrs.,S,female,None
439,0,1,64.0,1,4,249.3630053167766,Mr.,S,male,C
440,0,2,31.0,0,0,10.5,Mr.,S,male,None
441,1,2,45.0,1,1,26.25,Mrs.,S,female,None
442,0,3,20.0,0,0,9.5,Mr.,S,male,None
443,0,3,25.0,1,0,7.775,Mr.,S,male,None
